problem_id,room_dim,stage_dim,musicians_count,instrument_count,attendees_count,pillar_count,radii_num,radii_min,radii_max,best_score,%% of total score,theoretical_max_score,newton_max_score,%% our score / Newton max
22,1000 x 1000,1000 x 20,16,9,400,0,,,,430969090.,0.38,1901283740.,219068770.,196.73
23,1000 x 1000,1000 x 20,10,1,500,0,,,,314664980.,0.28,1850239900.,194805000.,161.53
24,1000 x 1000,1000 x 20,15,3,500,0,,,,476356350.,0.42,3170553830.,211420470.,225.31
25,1000 x 1000,1000 x 20,25,25,1500,0,,,,2081628230.,1.84,15244798180.,1491814940.,139.54
26,1000 x 1000,1000 x 20,15,10,1500,0,,,,1188408960.,1.05,8221906280.,841201690.,141.28
27,1000 x 1000,1000 x 20,20,10,1000,0,,,,1028986810.,0.91,6139000400.,582424600.,176.67
28,1000 x 1000,181 x 134,13,6,1000,0,,,,1135970490.,1.00,5690003970.,1178078190.,96.43
29,1000 x 1000,193 x 203,68,10,1000,0,,,,2726867780.,2.41,24865459720.,5739217940.,47.51
30,1000 x 1000,221 x 160,70,3,1000,0,,,,4289837920.,3.79,45064364500.,10216419300.,41.99
31,1462 x 9133,200 x 2168,792,306,1000,0,,,,1435694430.,1.27,50337446590.,2899081120.,49.52
32,3968 x 9921,831 x 1094,1365,642,1000,0,,,,1579116560.,1.39,25651763890.,3779573550.,41.78
33,9963 x 9102,1984 x 2450,1484,107,500,0,,,,229214690.,0.20,4885466900.,552822600.,41.46
34,8882 x 5656,1324 x 669,895,375,500,0,,,,382232650.,0.34,11694248360.,1087637510.,35.14
35,8085 x 3225,1489 x 596,567,561,500,0,,,,494150040.,0.44,15981444460.,1501983750.,32.90
